place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Alexisbad	Alexisbad	kurbadested i Selke-dalen, grundlagt 1810.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	125	1	v14:125 (1831)	high	in-register+place-type	geo-2958541
Algeciras	Algeciras	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Alhama de Granada	Alhama	Alhama de Granada, se kort.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	high	se-kort	
Alhambra	Alhambra | Alhambra(s)	slot i Granada. ¶ Maurerkongernes slot uden for Granada i Spanien. ¶ maurerkongernes slot uden for Granada; det omtalte besøg fandt sted den 7.	1837	1837 1853 1869	2 5 18	Kun en Spillemand	219	3	v5:219 (1837); v2:72 (1853); v18:257 (1869)	high	head-noun+located+place-type	
Alleenberg	Alleenberg	forlystelseshave på Frederiksberg Allé 1841-1923.	1863	1863	15	I Spanien	309	1	v15:309 (1863)	medium	located+place-type	
Almadén	Almaden	Almadén, se kort.	1863	1863	15	I Spanien	275	1	v15:275 (1863)	high	se-kort	
Almanaken	Almanaken	tårnet forekommer på almanakkens titelblad fra 1685; det blev bygget 1637-1642 som erstatning for den danske adelsmand og astronom Tycho Brahes (1546-1601) observatorium på Ven, som han havde forladt allerede 1597. Det officielle latinske navn var Stelleburgi Regis Hauniensis (Københavns Kongelige Stjerneborg).	1857	1857	6	»At være eller ikke være«	27	1	v6:27 (1857)	high	head-noun+place-type+split-ellipsis	
Almería	Almeria	Almería, se kort.	1863	1863	15	I Spanien	286	1	v15:286 (1863)	high	se-kort	
Alster	Alster(en) | Alsteren	53 km lang biflod til Elben. Opdæmmes i Hamburg til de to kunstige søer Außen-Alster og Binnen-Alster. ¶ biflod til Elben, der opdæmmes i to kunstige søer i Hamburg, Außen-Alster og Binnen-Alster. ¶ Alster, biflod til Elben, der løber igennem Hamburg (og som er omdannet til søerne Binnen-Alster og Außen-Alster).	1831	1831 1842 1855	14 17	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	74	3	v14:74 (1831); v14:578 (1842); v17:249 (1855)	high	in-register+located+place-type+head-noun	geo-2958108
Altdorf	Altorf	Altdorf, by ved enden af Vierwaldstättersees østlige gren; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
Altona	Altona	by nordvest for Hamburg, der dengang hørte under den danske krone og senere voksede sammen med Hamburg.	1842	1842	14	En Digters Bazar	578	1	v14:578 (1842)	high	in-register+head-noun+located+place-type	geo-2911296
Amalfi	Amalfi	kystby i Salernobugten syd for Napoli. ¶ kystby i Salernobugten syd for Napoli; se kort ¶ kystby i Salernobugten 25 km vest for Salerno.	1835	1835 1855	4 14 17	Improvisatoren	254	3	v4:254 (1835); v14:201 (1835); v17:153 (1855)	high	in-register+head-noun+located+place-type+se-kort	geo-3183130
Amrom	Amrom	øen Amrum vest for Föhr.	1849	1849 1855	5 17	De to Baronesser	384	2	v5:384 (1849); v17:287 (1855)	high	head-noun+place-type	
Ancona	Ancona	se kort.	1842	1842	14	En Digters Bazar	351	1	v14:351 (1842)	high	se-kort	
Andújar	Andujar	Andújar, se kort.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Anna Barbara Jensenius	Præste-Enke	Anna Barbara Jensenius, f. Petersen, enke efter sognepræst til Vejlby ved Middelfart Johan Jürgen Jensenius. Hun boede i stiftelsen Eilschous Boliger i Munkemøllestræde skråt overfor H.C. Andersens barndomshjem.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located+place-type	
Antvorskov Kloster	Antvorskov Kloster | Antvorskou-Slot	johanitterkloster fra ca. 1164, ombygget til kongeslot 1580-1584. Nord- og vestfløjen blev nedrevet 1814-1816 og østfløjen i 1830’erne. ¶ Antvorskov Kloster, 1 km syd for Slagelse, blev nedrevet 1816.	1846	1846 1859	2 16	Mit eget Eventyr uden Digtning	213	2	v16:213 (1846); v2:281 (1859)	high	head-noun+place-type+located	
Apatin	Apatin	se kort.	1842	1842	14	En Digters Bazar	550	1	v14:550 (1842)	high	se-kort+split-ellipsis	geo-3204793
Apenniner	Apenniner	bjergkæde i Mellemitalien.	1835	1835	4	Improvisatoren	159	1	v4:159 (1835)	high	head-noun+located+place-type	
Appeninerne	Appeninerne	bjergkæde i det centrale Italien, der strækker sig fra Posletten og sydpå.	1835	1835	4	Improvisatoren	307	1	v4:307 (1835)	high	head-noun+place-type	
Aranjuez	Aranjuez | Aranjues	se kort. ¶ Aranjuez, spansk by ca. 40 km syd for Madrid, kendt for sit kongelige slot med det smukke haveanlæg, bygget 1561-1567 under Filip 2.	1863	1863 1869	15 18	I Spanien	379	2	v15:379 (1863); v18:263 (1869)	high	se-kort+located+place-type	
Arcadien	Arcadien	oprindelig navnet på græsk landskab på Peloponnes; fra 1600-tallets hyrdedigtning tillige navnet på idyllisk og fredfyldt landskab.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	208	1	v9:208 (1829)	medium	located+place-type	
Archipel	Archipel	øhav, oprindeligt brugt om Ægæerhavet.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	head-noun+place-type	
Archipelagus	Archipelagus	(græsk: arkipelagos) øhav. ¶ øhav.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	244	3	v16:244 (1846); v16:292 (1846); v5:322 (1849)	high	head-noun+place-type	
Arcone	Arcone	forbjerget Arkona på den tyske ø Rügen, der, som Stevns Klint, bl.a. består af kridt.	1830	1830	7	Digte	95	1	v7:95 (1830)	high	head-noun+place-type	
Arezzo	Arezzo	se kort.	1842	1842	14	En Digters Bazar	284	1	v14:284 (1842)	high	in-register+se-kort	geo-3182884
Ariccia	Ariccia	by i Albanerbjergene. ¶ by 11 km syd for Grottaferrata.	1835	1835 1855	4 17	Improvisatoren	194	2	v4:194 (1835); v17:138 (1855)	high	head-noun+located+place-type	
Arkadien	Arkadien(s)	bjergrigt område på Peloponnes, den sydlige halvø på det græske hovedland (se kort); siden antikken også navnet på et idyllisk sted, hvor livet leves enkelt og lykkeligt.	1842	1842	14	En Digters Bazar	374	1	v14:374 (1842)	high	se-kort+located+place-type	
Arno	Arno	flod, der udspringer i Appenninerne, flyder igennem Firenze og videre ud mod Middelhavet. ¶ flod i Norditalien.	1842	1842	14	En Digters Bazar	271	2	v14:271 (1842); v14:522 (1842)	high	head-noun+located+place-type	
Ascanii Grav	Ascanii Grav	plads ved vejen fra Albano til Rom, hvor Æneas’ søn, Ascanius, skulle være begravet. ¶ plads på vejen mellem Rom og Albano, hvor den trojanske sagnprins Ascanius, Æneas’ søn, ifølge traditionen er begravet.	1835	1835 1842	4 14	Improvisatoren	283	2	v4:283 (1835); v14:337 (1842)	high	head-noun+located+place-type	
Asmildkloster	Asmildkloster	herregård ved Viborg. Oprindelig et kloster for nonner af Augustinerordenen beliggende i Asmild Kirkes nordfløj. Efter reformationen blev klostret omdannet til herregård.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	high	head-noun+located+place-type	
Assisi	Assisi	se kort.	1842	1842	14	En Digters Bazar	288	1	v14:288 (1842)	high	in-register+se-kort	geo-3182722
Astrakhan	Astrakan	Astrakhan, russisk havneby ved Det Kaspiske Hav.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	175	1	v14:175 (1831)	medium	located+place-type	
Asturien	Asturien	region i Nordvestspanien.	1863	1863	15	I Spanien	301	1	v15:301 (1863)	high	head-noun+located+place-type	
Atlasbjerge	Atlasbjerge	bjergkæde, der strækker sig fra Sydvest-Marokko til Nordøst-Tunesien.	1863	1863	15	I Spanien	336	1	v15:336 (1863)	high	head-noun+located+place-type	
Attica	Attica(s)	Attika er navnet på den halvø i den østlige del af det centrale Grækenland, hvor Athen ligger.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	in-register+place-type	geo-6692632
Augsburg	Augsborg | Augsburg	Augsburg; se kort. ¶ H.C. Andersen opholdt sig her 16.-17. november 1840.	1842	1842	14	En Digters Bazar	237	2	v14:237 (1842); v14:243 (1842)	high	se-kort+in-register	geo-2954172
Augustenborg	Augustenborg	slottet ligger på Als.	1846	1846	16	Mit eget Eventyr uden Digtning	294	1	v16:294 (1846)	high	head-noun+located+place-type	
Augustenborg Liedertafel	»Liedertafel«	Augustenborg Liedertafel, den lokale tyske sangforening, stiftet 1843; da flere af medlemmerne havde forbindelser til hoffet, medvirkede foreningen ved flere lejligheder ved hertugfamiliens fester.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	294	1	v17:294 (1855)	high	head-noun+place-type	
Aveiro	Aveiro	se kort; romernes Talabriga, gammelt bispesæde og vigtig havn med salteksport frem til 1575, da havnen sandede til. På H.C. Andersens tid var byen hensygnende. Udflugten fandt sted den 20.21. juli.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort+place-type	
Avesta	Avesta(’s)	se kort 2. Fra 1636 lå her et kobberforædlingsværk.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
Axelshuus	Axelshuus	antoges tidligere for navnet på den borg i København, som biskop Absalon (ca. 1128-1201) lod opføre 1167; 1500-tallets historikere antog fejlagtigt, at biskop Absalon egentlig hed Aksel og hans hus derfor Akselhus.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	172	1	v9:172 (1829)	medium	located+place-type	
Baalbek	Baalbek	by i Libanon, der var centrum for Baalkulten, fik navnet Heliopolis (solens by) under grækernes herredømme. Blev i 100-tallet e.Kr. romersk koloni; romerne byggede flere templer, hvoraf det største var for Jupiter.	1842	1842	14	En Digters Bazar	463	1	v14:463 (1842)	high	head-noun+located+place-type	
Babeltaarn	Babeltaarn(e)	tårn i Babylon, der skulle nå helt op til himlen. Ifølge 1. Mosebog 11,1-9 havde indbyggerne i Babylon oprindelig kun et sprog, men da Gud så, at de magtede at bygge et tårn, der rakte til himlen, spredte han det babylonske folk og gav dem forskellige sprog, så de ikke kunne fungere som ét folk.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	87	1	v14:87 (1831)	high	head-noun+located+place-type	
Bad Berneck	Bernech	Bad Berneck, by mellem Münchberg og Bayreuth; se kort.	1842	1842	14	En Digters Bazar	238	1	v14:238 (1842)	high	se-kort+located+place-type	
Baikos	Baikos	by på Bosporusstrædets østbred, ca. 40 km nord for Istanbul; se kort.	1842	1842	14	En Digters Bazar	493	1	v14:493 (1842)	high	se-kort+head-noun+located+place-type	
Bailen	Baylen	Bailen, se kort; her sejrede spanske styrker over Napoleon juli 1808 under uafhængighedskrigen.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Bajæ	Bajæ	kystby syd for Napoli.	1835	1835	14	Søndagsblad. Et æsthetisk Ugeskrift	198	1	v14:198 (1835)	high	head-noun+located+place-type	
Bakken	Bakken	Valby bakke. ¶ Valby Bakke.	1859	1859 1869	2 9	Børnesnak	280	2	v2:280 (1859); v9:535 (1869)	high	head-noun+place-type	
Balkanbjergene	Balkanbjergene	bjergkæde, der strækker sig fra Bulgariens nordvestlige hjørne til Sortehavet.	1842	1842	14	En Digters Bazar	515	1	v14:515 (1842)	high	head-noun+located+place-type	
Balle-Kirke	Balle-Kirke	i sognet nord for Silkeborg i det daværende Viborg amt.	1854	1854	15	Folkekalender for Danmark	139	1	v15:139 (1854)	medium	located+place-type	
Banke	Banke	Næsbyhoved borgbanke nær Odense Havn blev antagelig anlagt i 1100-tallet, der findes spor af bebyggelse fra omkring 1340 og befæstningsanlæg fra omkring 1370; slottet på banken blev ødelagt i 1534 under Grevens Fejde, og de sidste bygninger blev revet ned i 1764.			8	(untitled)	441	1	v8:441 ()	medium	located+place-type+split-ellipsis	
Barcelona	Barcelona	se kort; H.C. Andersen opholdt sig her 6.-16. september 1862.	1863	1863	15	I Spanien	226	1	v15:226 (1863)	high	se-kort	
Barkedalen	Barkedalen	Barkdalen ved Leksand, hvor kirkegængere, der kom ad søvejen, lagde til.	1851	1851	15	I Sverrig	86	1	v15:86 (1851)	high	head-noun+place-type	
Barnaby Rudge	Barnaby Rudge	Barnaby Rudge, 1840-1841, (dansk med samme titel 1845).	1860	1860	15	Berlingske politiske Avertissements-Tidende	166	1	v15:166 (1860)	high	head-noun+place-type	
Bascara	Bascara	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Basiasch	Basiasch	Bazias med græsk kloster; se kort.	1842	1842	14	En Digters Bazar	542	1	v14:542 (1842)	high	se-kort	
Basnæs	Basnæs	hovedgård og gods ved Skælskør. ¶ hovedgård og gods sydøst for Skælskør; ejet af familien Scavenius, hvor specielt Henriette Scavenius (1819-1989) var en nær veninde af H.C. Andersen. ¶ familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius, Lucies mor, var en nær veninde af H.C. Andersen. ¶ familien Scavenius’ hovedgård og gods sydøst for Skælskør, hvor specielt Henriette Scavenius var en nær veninde af H.C. Andersen.	1868	1868 1874	3 8	Bemærkninger	387	4	v3:387 (1868); v3:396 (1874); v8:380 (); v8:492 ()	high	head-noun+located+place-type	
Bastei	Bastei	bjergmassiv i Sachsiske Schweiz; se kort.	1842	1842	14	En Digters Bazar	576	1	v14:576 (1842)	high	in-register+se-kort+located	geo-2952248
Bastholms Bibliothek	Bastholms Bibliothek	præst ved Sankt Peders Kirke i Slagelse, Hans Bastholm, havde samlet et omfattende bibliotek, der i 1825 bestod af 5435 bind og i 1847 af 7226. I 1826 traf Bastholm aftale med Sorø Akademi om, at man kunne overtage bogsamlingen på et senere tidspunkt mod en livrente til ham og hans kone. I 1846 overgik de første 5000 bind og resten efter Bastholms død i 1866.	1832	1832	16	Levnedsbog	99	1	v16:99 (1832)	medium	located+place-type	
Bastillen	Bastillen	borg i Paris, anvendt som fængsel, nedrevet i 1789 ved begyndelsen på den franske revolution. ¶ middelalderborg i Paris anvendt som fængsel, stormet den 14. juli 1789 som start på den franske revolution og nedrevet umiddelbart efter.	1837	1837 1855 1866	3 5 17	Kun en Spillemand	196	3	v5:196 (1837); v17:15 (1855); v3:127 (1866)	high	head-noun+located+place-type	
Bayonne	Bayonne | Bajonne	fransk by ved grænsen til Spanien. ¶ Bayonne, by ved Golfe de Gascogne ca. 25 km fra grænsen til Spanien.	1863	1863 1868	15	I Spanien	350	2	v15:350 (1863); v15:422 (1868)	medium	located+place-type	
Bazar	Bazar(en)	gade eller torv med købmandsboder.	1840	1840	11	Maurerpigen	461	1	v11:461 (1840)	high	head-noun+place-type	
Bebek	Bebek	se kort.	1842	1842	14	En Digters Bazar	492	1	v14:492 (1842)	high	in-register+se-kort	geo-750864
Behobie	Behobie	lille by ca. 2 km fra Irún.	1863	1863	15	I Spanien	412	1	v15:412 (1863)	high	head-noun+located+place-type	
Belgrads Fæstning	Belgrads Fæstning	den første fæstning ved Beograd blev bygget af kelterne i 200-tallet; ødelagt og genopbygget utallige gange frem til slutningen af 1700-tallet.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	head-noun+located+place-type	
Ben Lomond	Ben Lomond	bjerg ved bredden af Loch Lomond.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+place-type	
Benavente	Benavente	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Bergsäng	Bergsäng	se kort 2 (mellem Leksand og Rättvik).	1851	1851	15	I Sverrig	96	1	v15:96 (1851)	high	se-kort	
Berner-Oberland	Berner-Oberland	bjergkæde i det sydvestlige Schweiz, der strækker sig langs Rhôneflodens nordlige bred. –	1862	1862	2	Iisjomfruen	394	1	v2:394 (1862)	high	head-noun+place-type	
Besançon	Besançon	fransk by nordvest for Le Locle.	1836	1836	4	O. T.	452	1	v4:452 (1836)	medium	located+place-type	
Biarrits	Biarrits	kystby sydvest for Bayonne.	1868	1868	15	Et Besøg i Portugal 1866	422	1	v15:422 (1868)	high	head-noun+located+place-type	
Biarritz	Biarrits	Biarritz, fransk by ved den vestlige grænse til Spanien. H.C. Andersen opholdt sig her 27.-29. december 1862.	1863	1863	15	I Spanien	407	1	v15:407 (1863)	medium	located+place-type	
Bilbao	Bilbao	se kort.	1863	1863	15	I Spanien	408	1	v15:408 (1863)	high	se-kort	
Bjergene	Bjergene	Sierra de Guadarrama nordøst for Madrid, se kort.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	se-kort	
Blankenburg	Blankenburg	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	116	1	v14:116 (1831)	high	in-register+se-kort	geo-2948071
Blankenese	Blankenese	den gang lille skipper- og fiskerby ved Elben ca. 7 km fra Altona.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	78	1	v14:78 (1831)	medium	located+place-type	
Blegdam	Blegdam(men)	plads, hvor tøjet lægges til blegning i solen.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	53	1	v14:53 (1829)	high	head-noun+place-type	
Blegen	Blegen	plads, hvor tøjet efter vask blev lagt til tørre og bleget i solen.	1835	1835 1836	4	Improvisatoren	200	2	v4:200 (1835); v4:427 (1836)	high	head-noun+place-type	
Blois	Blois	fransk by ved Loirefloden, 60 km sydvest for Orléans. Slottet i Blois stammer fra 1200-tallet og er senere udvidet.	1865	1865	13	Da Spanierne var her	500	1	v13:500 (1865)	medium	located+place-type	
Bloksbjerg	Brocken | Brocken(s)	Bloksbjerg; det højeste bjerg i Harzen. ¶ Bloksbjerg; det højeste bjerg i Harzen, hvor heksene ifølge folketroen samlede sig. ¶ Bloksbjerg, det højeste bjerg i Harzen, hvor heksene efter sagnet samlede sig. ¶ Bloksbjerg, bjergkæde i Harzen.	1833	1833 1837 1857 1868 1869	5 6 7 15 18	Af Samlede Digte	455	6	v7:455 (1833); v5:47 (1837); v5:277 (1837); v6:83 (1857); v15:468 (1868); v18:315 (1869)	high	in-register+head-noun+located+place-type	place-000023
Blomberg	Blomberg	herregård.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	head-noun+place-type	
Bodensee	Bodensøe	Bodensee; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Bohus	Bohus	se kort 2.	1851	1851	15	I Sverrig	71	1	v15:71 (1851)	high	se-kort	
Boldgade	Boldgade	distrikt.	1860	1860	2	Gaardhanen og Veirhanen	297	1	v2:297 (1860)	high	head-noun+place-type	
Bologna	Bologna	se kort.	1842	1842	14	En Digters Bazar	265	1	v14:265 (1842)	high	in-register+se-kort	geo-3181928
Bordeaux	Bordeaux	by i det sydvestlige Frankrig ved Biscayabugten ca. 200 km fra grænsen til Spanien.	1868	1868	15	Et Besøg i Portugal 1866	421	1	v15:421 (1868)	high	head-noun+place-type	
Borg	Borg	Næsbyhoved Slot. Ødelagt i 1534 under Grevens Fejde og endelig nedrevet i 1764.	1832	1832	16	Levnedsbog	160	1	v16:160 (1832)	medium	located+place-type	
Borreby	Borreby	Borreby, herregård syd for Skælskør, ligger kun få km fra Basnæs; sagnet har ikke kunnet identificeres. ¶ hovedgård 2 km syd for Skelskør.	1869	1869	8 18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	2	v18:224 (1869); v8:380 ()	high	head-noun+located+place-type	
Bosporus	Bosporus	stræde, der deler Istanbul i en europæisk og en asiatisk del og forbinder Marmarahavet med Sortehavet; se kort. ¶ stræde ved Istanbul, der forbinder Sortehavet med Marmarahavet.	1842	1842 1855	14 17	En Digters Bazar	454	2	v14:454 (1842); v17:297 (1855)	high	in-register+se-kort+head-noun+place-type+located	geo-745043
Bosporusstrædet	Bosporus	Bosporusstrædet, 30 km langt stræde ved Istanbul.	1851	1851	15	I Sverrig	61	1	v15:61 (1851)	high	in-register+located+place-type	
Bouchain	Bouchain	by i Nordfrankrig, hvor Mikkels herskab, majoren, har fået anvist kvarter, men som han forlader for at tage til Paris.	1840	1840	11	Mikkel(s)majorens tjener i J.L. Heibergs vaudeville <i>De Danske i Paris</i>, opført på Det Kongelige Teater 1833.Mikkels Kjærligheds Historier i Paris	377	1	v11:377 (1840)	high	head-noun+located+place-type	
Bozen	Botzen	Bozen, nuværende Bolzano i italienske Sydtyrol; se kort.	1842	1842	14	En Digters Bazar	257	1	v14:257 (1842)	high	se-kort	
Braunschweig	Braunschweig(s) | Braunschweig	se kort.	1831	1831 1842	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	86	2	v14:86 (1831); v14:232 (1842)	high	in-register+se-kort+split-ellipsis	geo-2945024
Bredgadens Gaard	Bredgadens Gaard	Jonas Collins gård (bindingsværksbygning) i Bredgade 4 i København, hvor familien Collin boede fra 1802 til 1838, og hvor Louise Collin således voksede op.			8	(untitled)	361	1	v8:361 ()	medium	located+place-type	
Bregentved	Bregentved(s) | Bregentved	herregård ved Haslev. ¶ A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ lensgreve A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke, hvor H.C. Andersen fejrede julen 1848. ¶ hovedgård 5 km sydøst for Haslev. ¶ hovedgård ved Haslev, ejet af lensgreve Adam Wilhelm Moltke og komtesse Marie Elisabeth Moltke. H.C. Andersen var første gang gæst på Bregentved i sommeren 1842 og kom der flittigt op igennem 1840’erne.	1846	1846 1849 1855	5 8 16 17	Mit eget Eventyr uden Digtning	263	7	v16:263 (1846); v5:444 (1849); v17:234 (1855); v8:130 (); v8:256 (); v8:475 (); v8:500 ()	high	head-noun+located+place-type	
Breitenburg	Breitenburg	gehejmestatsminister Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersens var på besøg i både 1840, 1843 og 1844; Rantzau bevirkede, at Andersen i 1838 tildeltes en årlig offentlig understøttelse på 400 Rdl. ¶ slot ca. 3 km sydøst for Itzehoe (se kort), grundlagt i begyndelsen af 1500-tallet som hovedsæde for adelsfamilien Rantzau. ¶ gehejmestatsminister Andreas Conrad Peter Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersen opholdt sig 2.-19. februar 1843.	1842	1842 1855	8 14 17	En Digters Bazar	221	3	v14:221 (1842); v17:249 (1855); v8:95 ()	high	in-register+located+place-type+se-kort+head-noun	geo-2944627
Bremen	Bremen	se kort.	1842	1842	14	En Digters Bazar	230	1	v14:230 (1842)	high	se-kort	
Brenner	Brenner	Brennerpasset mellem Østrig og Italien; se kort.	1842	1842	14	En Digters Bazar	255	1	v14:255 (1842)	high	se-kort	
Brenta	Brenta	flod, der udmunder ved Venezia.	1835	1835	4	Improvisatoren	347	1	v4:347 (1835)	high	head-noun+located+place-type	
Brobye	Brobye	landsby på midtfyn mellem Odense og Fåborg.	1822	1822	9	Ungdoms-Forsøg	54	1	v9:54 (1822)	high	head-noun+located+place-type	
Brocken	Brocken	Bloksbjerg. Det højeste bjerg i Harzen på 1142 m, hvor heksene ifølge folketroen samlede sig.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	88	1	v14:88 (1831)	high	in-register+head-noun+located+place-type	geo-2943991
Broholm	Broholm	herregård i Gudme nord for Svendborg.	1837	1837	5	Kun en Spillemand	56	1	v5:56 (1837)	high	head-noun+located+place-type	
Brudeskare	Brudeskare	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	195	1	v15:195 (1860)	high	head-noun+place-type+split-ellipsis	
Brunnbäcks Färja	Brunbäck Færge	Brunnbäcks Färja; færgested ved Dalälvens udmunding nær Avesta. Se kort 2.	1851	1851	15	I Sverrig	95	1	v15:95 (1851)	high	se-kort+located	
Bråviken	Braavigen	Bråviken; se kort 2.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	se-kort	
Bukarest	Buccharest	Bukarest, Rumæniens hovedstad; se kort.	1842	1842	14	En Digters Bazar	510	1	v14:510 (1842)	high	se-kort	
Bålstad	Bålstad	muligvis Båtsta ca. 3 km nordvest for Borlänge (se kort 2). Österdalälven og Västerdalälven mødes dog lidt længere mod vest, nemlig syd for Siljan.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort	
Bækken	Bækken	den kastaliske kilde, nu Hagios Johannes. Ifølge sagnet kastede nymfen Kastalia sig i kilden, da hun blev forfulgt af Apollon. Kildevandet antoges at kunne begejstre digtere.	1862	1862	3	Venskabs-Pagten	28	1	v3:28 (1862)	high	head-noun+place-type+split-ellipsis	
