place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Augustenborg	Augustenborg	slottet ligger på Als.	1846	1846	16	Mit eget Eventyr uden Digtning	294	1	v16:294 (1846)	high	head-noun+located+place-type	
Augustenborg Liedertafel	»Liedertafel«	Augustenborg Liedertafel, den lokale tyske sangforening, stiftet 1843; da flere af medlemmerne havde forbindelser til hoffet, medvirkede foreningen ved flere lejligheder ved hertugfamiliens fester.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	294	1	v17:294 (1855)	high	head-noun+place-type	
Aveiro	Aveiro	se kort; romernes Talabriga, gammelt bispesæde og vigtig havn med salteksport frem til 1575, da havnen sandede til. På H.C. Andersens tid var byen hensygnende. Udflugten fandt sted den 20.21. juli.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort+place-type	
Avesta	Avesta(’s)	se kort 2. Fra 1636 lå her et kobberforædlingsværk.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
Bailen	Baylen	Bailen, se kort; her sejrede spanske styrker over Napoleon juli 1808 under uafhængighedskrigen.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Balle-Kirke	Balle-Kirke	i sognet nord for Silkeborg i det daværende Viborg amt.	1854	1854	15	Folkekalender for Danmark	139	1	v15:139 (1854)	medium	located+place-type	
Barbarer	Barbarer	både i betydningen ucivilicerede, barbariske folk og berbere, indbyggere i Berberiet el. Barbareskstaterne, som er en ældre fællesbetegnelse for Marokko, Algeriet, Tunis og Tripolitania (i Libyen).	1863	1863	15	I Spanien	332	1	v15:332 (1863)	medium	located	
Barcelona	Barcelona	se kort; H.C. Andersen opholdt sig her 6.-16. september 1862.	1863	1863	15	I Spanien	226	1	v15:226 (1863)	high	se-kort	
Barkedalen	Barkedalen	Barkdalen ved Leksand, hvor kirkegængere, der kom ad søvejen, lagde til.	1851	1851	15	I Sverrig	86	1	v15:86 (1851)	high	head-noun+place-type	
Barnaby Rudge	Barnaby Rudge	Barnaby Rudge, 1840-1841, (dansk med samme titel 1845).	1860	1860	15	Berlingske politiske Avertissements-Tidende	166	1	v15:166 (1860)	high	head-noun+place-type	
Bascara	Bascara	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Bastholms Bibliothek	Bastholms Bibliothek	præst ved Sankt Peders Kirke i Slagelse, Hans Bastholm, havde samlet et omfattende bibliotek, der i 1825 bestod af 5435 bind og i 1847 af 7226. I 1826 traf Bastholm aftale med Sorø Akademi om, at man kunne overtage bogsamlingen på et senere tidspunkt mod en livrente til ham og hans kone. I 1846 overgik de første 5000 bind og resten efter Bastholms død i 1866.	1832	1832	16	Levnedsbog	99	1	v16:99 (1832)	medium	located+place-type	
Bastillen	Bastillen	middelalderborg i Paris anvendt som fængsel, stormet den 14. juli 1789 som start på den franske revolution og nedrevet umiddelbart efter.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	15	1	v17:15 (1855)	high	head-noun+located+place-type	
Bayonne	Bayonne | Bajonne	fransk by ved grænsen til Spanien. ¶ Bayonne, by ved Golfe de Gascogne ca. 25 km fra grænsen til Spanien.	1863	1863 1868	15	I Spanien	350	2	v15:350 (1863); v15:422 (1868)	medium	located+place-type	
Beaulieus yngre Broder Edmond	Beaulieus yngre Broder Edmond	formodentlig August von Beaulieu-Marconnay, bror til Carl von Beaulieu-Marconnay og løjtnant i oldenburgsk tjeneste; han endte som major i den østrigske hær. Ifølge Dagbogen mødte H.C. Andersen ham 4. juli 1844 og gjorde 9.12. juli en udflugt til Tharandt, sydvest for Dresden, hvor August von Beaulieu-Marconnay opholdt sig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	282	1	v17:282 (1855)	medium	located	
Behobie	Behobie	lille by ca. 2 km fra Irún.	1863	1863	15	I Spanien	412	1	v15:412 (1863)	high	head-noun+located+place-type	
Ben Lomond	Ben Lomond	bjerg ved bredden af Loch Lomond.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+place-type	
Benavente	Benavente	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Bergsäng	Bergsäng	se kort 2 (mellem Leksand og Rättvik).	1851	1851	15	I Sverrig	96	1	v15:96 (1851)	high	se-kort	
betegnede Heiberg det	betegnede Heiberg det	jf. J.L. Heibergs anmeldelse af teaterbearbejdelsen af Agnete og Havmanden i Intelligensblade, nr. 29-30, 1. juni 1843: »Dersom det ikke var det paa Theatret opførte Udtog af Digtet, jeg her skulde omtale, men dette selv, saa vilde jeg sige, at det var et yderst mat og kraftløst Arbeide, der støtter sig paa overfladisk tilegnede Reminiscenser af Sujettets forskjellige Bearbeidelser, er udpyntet med endeel tom og falsk Lyrik, og i det hele vidner om Forfatterens sædvanlige Mangel paa Opfindelse og paa Evne til at bringe fornuftig Sammenhæng i sine Characterer og Klarhed i de fremstilte Ideer. Alle Modsætninger, som skulde staae i organisk Bestemthed imod hinanden, røres her sammen i en jevn Velling, hvori hverken den ene eller den anden er kjendelig (...) At Sagen ikke er bleven bedre, men snarere værre ved det Udtog af Digtet, som man har transporteret umiddelbart fra Bogladen op paa Scenen, forstaaer sig af sig selv. Men herved maa erindres – hvad allerede offentlig er bemærket – at Forfatteren ikke af egen Drift har bestemt sig til at bringe sit Arbeide paa Scenen, men anmodet derom af en Skuespiller, som var i Forlegenhed med sin Sommerforestilling. Rigtignok havde det været bedre, om hans Tilbøielighed til at gjøre en Tjeneste ikke havde forledet ham til at opoffre sig selv, og om Componisten Hr. Gade ikke havde ødslet sin characteristiske, følelsesfulde Musik paa et Arbeide, hvorom det var saa let at forudsige, at det ikke kunde bære den«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	296	1	v17:296 (1855)	medium	located	
Biarrits	Biarrits	kystby sydvest for Bayonne.	1868	1868	15	Et Besøg i Portugal 1866	422	1	v15:422 (1868)	high	head-noun+located+place-type	
Biarritz	Biarrits	Biarritz, fransk by ved den vestlige grænse til Spanien. H.C. Andersen opholdt sig her 27.-29. december 1862.	1863	1863	15	I Spanien	407	1	v15:407 (1863)	medium	located+place-type	
Bilbao	Bilbao	se kort.	1863	1863	15	I Spanien	408	1	v15:408 (1863)	high	se-kort	
Bjergene	Bjergene	Sierra de Guadarrama nordøst for Madrid, se kort.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	se-kort	
Bloksbjerg	Brocken(s)	Bloksbjerg, bjergkæde i Harzen.	1868	1868 1869	15 18	Et Besøg i Portugal 1866	468	2	v15:468 (1868); v18:315 (1869)	high	in-register+head-noun+located+place-type	place-000023
Blomberg	Blomberg	herregård.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	head-noun+place-type	
Bodensee	Bodensøe	Bodensee; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Bohus	Bohus	se kort 2.	1851	1851	15	I Sverrig	71	1	v15:71 (1851)	high	se-kort	
Bordeaux	Bordeaux	by i det sydvestlige Frankrig ved Biscayabugten ca. 200 km fra grænsen til Spanien.	1868	1868	15	Et Besøg i Portugal 1866	421	1	v15:421 (1868)	high	head-noun+place-type	
Borg	Borg	Næsbyhoved Slot. Ødelagt i 1534 under Grevens Fejde og endelig nedrevet i 1764.	1832	1832	16	Levnedsbog	160	1	v16:160 (1832)	medium	located+place-type	
Borreby	Borreby	hovedgård 2 km syd for Skelskør.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+located+place-type	
Bosporus	Bosporus	stræde ved Istanbul, der forbinder Sortehavet med Marmarahavet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	297	1	v17:297 (1855)	high	in-register+head-noun+located+place-type	geo-745043
Bosporusstrædet	Bosporus	Bosporusstrædet, 30 km langt stræde ved Istanbul.	1851	1851	15	I Sverrig	61	1	v15:61 (1851)	high	in-register+located+place-type	
Bregentved	Bregentved	hovedgård 5 km sydøst for Haslev. ¶ hovedgård ved Haslev, ejet af lensgreve Adam Wilhelm Moltke og komtesse Marie Elisabeth Moltke. H.C. Andersen var første gang gæst på Bregentved i sommeren 1842 og kom der flittigt op igennem 1840’erne.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	263	2	v16:263 (1846); v17:234 (1855)	high	head-noun+located+place-type	
Breitenburg	Breitenburg	gehejmestatsminister Andreas Conrad Peter Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersen opholdt sig 2.-19. februar 1843.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	249	1	v17:249 (1855)	high	in-register+located+place-type	geo-2944627
Brudeskare … forsvunden	Brudeskare … forsvunden	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	195	1	v15:195 (1860)	high	head-noun+place-type	
Brunnbäcks Färja	Brunbäck Færge	Brunnbäcks Färja; færgested ved Dalälvens udmunding nær Avesta. Se kort 2.	1851	1851	15	I Sverrig	95	1	v15:95 (1851)	high	se-kort+located	
Bråviken	Braavigen	Bråviken; se kort 2.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	se-kort	
Bunkeflod var død	Bunkeflod var død	Bunkeflod døde i 1805.	1832	1832	16	Levnedsbog	63	1	v16:63 (1832)	high	head-noun+place-type	
Burgtheater	Burgtheater	kongeligt teater åbnet 1742, siden flyttet. På H.C. Andersens tid Wiens fornemste teater.	1846	1846	16	Mit eget Eventyr uden Digtning	249	1	v16:249 (1846)	medium	located	
Bålstad	Bålstad	muligvis Båtsta ca. 3 km nordvest for Borlänge (se kort 2). Österdalälven og Västerdalälven mødes dog lidt længere mod vest, nemlig syd for Siljan.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort	
Børglum Kloster	Børglum Kloster	hovedgård 20 km sydvest for Hjørring nær Løkken Strand; tidligere kongsgård (1000-tallet), bispesæde (fra 1130’erne) og præmonstratenserkloster; ved reformationen inddraget under kronen, siden privateje, fra 1835 i slægten Rottbøll.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v18:213 (1869)	high	head-noun+located+place-type	
Calais til Dover	Calais til Dover	havnebyer ved Den engelske Kanal (strædet ved Dover/Calais) i henholdsvis Nordfrankrig og Sydengland. – Ramsgate: havneby stik vest for London i det vestlige Kent, nord for Dover. – Han havde indbudt mig: i et brev dateret Tavistock House, London den 3.april 1857, indklæbet i Album s. 33. De følgende citater er oversatte fra brevet: »We shall not be at home here in London itself, after the first week in June, but we shall be at a little country house I have, only twenty seven miles away. It is on a line of Railroad, and within an hour and a half of London, in a very beautiful part of Kent«.	1860	1860	15	Berlingske politiske Avertissements-Tidende	160	1	v15:160 (1860)	medium	located+place-type	
Camaldoli	Camaldoli	kloster ved Napoli, beliggende ved et af Vesuvs kratere.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	high	head-noun+located+place-type	
Campagnen	Campagnen	sletten, der omgiver Rom.	1846	1846	16	Mit eget Eventyr uden Digtning	320	1	v16:320 (1846)	high	head-noun+place-type	
Canal-Reisen til Stockholm	Canal-Reisen til Stockholm	den 25. juni rejser H.C. Andersen ad Göta kanal fra Göteborg mod Stockholm, hvortil han ankommer til 29. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	181	1	v17:181 (1855)	medium	located+place-type	
Canton	Canton(et)	en republik inden for den schweiziske forbundsstat.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	123	1	v17:123 (1855)	high	head-noun+place-type	
Cap Finisterre	Cap Finisterre	se kort.	1868	1868	15	Et Besøg i Portugal 1866	477	1	v15:477 (1868)	high	se-kort	
Capri	Capri	klippeø 30 km syd for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	medium	located	
Caroline Amalie	Caroline Amalie	H.C. Andersen var 17.20. maj hendes gæst på Sorgenfri Slot ved Lyngby.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	192	1	v18:192 (1869)	medium	located+place-type	
Carrara	Carrara	se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1	v15:490 (1870)	high	se-kort	
Cartagena	Cartagena	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Cartuja	Cartuja	karteuserkloster fra 1516.	1863	1863	15	I Spanien	297	1	v15:297 (1863)	high	head-noun+place-type	
Casa de Pilatos	Pilati Huus … Jerusalem	Casa de Pilatos, palads fra midten af 1500-tallet. Størstedelen er bygget af don Fabrique, marquis af Tarifa efter en rejse til Jerusalem, og det fik ry for at være en efterligning af den romerske præfekt Pontius Pilatus’ (d. 35 e.Kr.) hus. Det blev siden residens for hertugerne af Alcalá de los Gazules (se kort) og Medinaceli (se kort).	1863	1863	15	I Spanien	362	1	v15:362 (1863)	high	se-kort+place-type	
Castel	Castel	(mindre) fæstning, skanse.	1868	1868	15	Et Besøg i Portugal 1866	456	1	v15:456 (1868)	high	head-noun+place-type	
Castellet	Castellet	paladset Dar el Makhzen, bygget af Mulay Ismail, fungerede som bolig for sultanens repræsentant i byen.	1863	1863	15	I Spanien	343	1	v15:343 (1863)	high	head-noun+place-type	
Castelo de Palmela	Palmella	Castelo de Palmela, beliggende på en klippe højt over bjerglandsbyen Palmela i Serra da Arrábida; se kort. Fæstningen, som går tilbage til maurertiden, blev erobret af portugiserne i 1100-taller, ombygget til kloster i 1423 under João 1.	1868	1868	15	Et Besøg i Portugal 1866	431	2	v15:431 (1868); v15:445 (1868)	high	se-kort+place-type	
Ceuta	Ceuta	spansk enklave ved Marokkos kyst, se kort.	1863	1863	15	I Spanien	328	1	v15:328 (1863)	high	se-kort+place-type	
Charlottenborg	hans Bolig	Charlottenborg, slot ved Kgs. Nytorv, hvor Det kongelige Academie for de Skønne Kunster havde til huse, og hvor Bertel Thorvaldsen som akademiets direktør 1833-1844 havde sin embedsbolig.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	237	1	v17:237 (1855)	high	head-noun+located+place-type	
Chaux de Fonds	Chaux de Fonds	La Chaux de Fonds i Jurabjergene lidt nordøst for Le Locle; se kort.	1869	1869	15	For Romantik og Historie	484	1	v15:484 (1869)	high	se-kort+place-type	
Cheapside	Cheapside(-Anmeldelse)	forretningsgade i London.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	266	1	v17:266 (1855)	high	head-noun+located+place-type	
Chillon	Chillon	middelalderborg ved Genèvesøen (Lac Léman), tæt ved Montreux, som H.C. Andersen besøgte 23. august 1833. ¶ middelalderborg ved Genèvesøen (Lac Léman), tæt ved Montreux; den engelske digter Lord Byron udgav 1816 sonnetten The Prisoner of Chillon (dansk Fangen i Chillon, 1842). H.C. Andersen besøgte slottet 29. juli 1846.	1855	1855 1869	17 18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	122	2	v17:122 (1855); v18:15 (1869)	high	head-noun+located+place-type	
Christian Friedrich Tieck	Billedhuggeren Tieck	Christian Friedrich Tieck, broder til Ludwig.	1846	1846	16	Mit eget Eventyr uden Digtning	307	1	v16:307 (1846)	medium	located	
Civita Vecchia	Civita Vecchia	havneby i Pavestaten; se kort. ¶ kystby nordøst for Rom.	1861	1861 1868	15	Dagbladet	215	2	v15:215 (1861); v15:427 (1868)	high	se-kort+head-noun+located+place-type	
Clapton	Clapton	forstad nord for London; besøget fandt sted 11. juli 1847. En anden og noget afvigende skildring af besøget findes trykt i Mary Howitt An Autobiography, bd. 2, 1889, s. 29-31.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	41	1	v18:41 (1869)	high	head-noun+located+place-type	
Clara Kirkegaard	Clara Kirkegaard	kirkegård ved Sankta Clara kyrka i Stockholm.	1851	1851	15	I Sverrig	63	1	v15:63 (1851)	medium	located	
Coimbra	Coimbra	se kort; byen har rod i den romerske Aeminium, senere Conimbriga; universitetsby 1308 og i en senere periode hovedstad; se kort. ¶ byen, der ligger i det nordlige Portugal, har rod i den romerske Aeminium, senere Conimbriga; universitetsby 1308 og i en senere periode hovedstad	1868	1868 1869	15 18	Et Besøg i Portugal 1866	461	2	v15:461 (1868); v18:311 (1869)	high	se-kort+place-type+head-noun	
Collins Datter og Svigersøn	Collins Datter og Svigersøn	Ingeborg og A.L. Drewsen, der sammen med Ingeborgs storesøster, Louise Collin, havde været på baderejse i Tyskland, hvor de havde gjort Felix Mendelssohn-Bartholdys bekendtskab.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	208	1	v17:208 (1855)	high	head-noun+place-type	
Conrad Rothe, nu Præst ved Fruekirke	Conrad Rothe, nu Præst ved Fruekirke	P.C. Rothe blev 1843 2. residerende kapellan ved Vor Frue Kirke i København, 1857 1. residerende kapellan og 1865 sognepræst ved kirken og stiftsprovst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v17:213 (1855)	medium	located+place-type	
Copenhague	Copenhague	(fransk) København.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	119	1	v17:119 (1855)	high	head-noun+place-type	
Cultusminister	Cultusminister	kirke- og undervisningsminister; Monrad var kultusminister maj-december 1859 og fra februar 1860.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Cultusministeren, Biskop Monrad	Cultusministeren, Biskop Monrad	kirke- og undervisningsminister D.G. Monrad, kultusminister maj-december 1859 og fra februar 1860; H.C. Andersen kom for at aflevere et eksemplar af I Spanien.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	269	1	v18:269 (1869)	high	head-noun+place-type	
Cádiz	Cadiz	Cádiz, se kort.	1863	1863	15	I Spanien	334	1	v15:334 (1863)	high	se-kort	
Dalarne	Dalarne	landskab, der omfatter den indre, nordlige del af Mellemsverige.	1851	1851	15	I Sverrig	38	1	v15:38 (1851)	high	head-noun+place-type	
Dalkulle	Dalkulle(n)	dalkulla (svensk), kvinde fra Dalarna. Fra 1820’erne til 1860’erne roede dalkullar de såkaldte kull-både i Stockholm; i 1830’erne indførte man dog hjulbåde, der blev drevet med håndsving af dalkullar i folkedragt.	1851	1851	15	I Sverrig	61	1	v15:61 (1851)	medium	located	
Dalälven	Dal-Elven	Dalälven; se kort 2.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort	
Dannemora	Dannemora	se kort 2. Jernmalmminen Dannemora gruva i Uppland 100 km nord for Stockholm har været i drift siden 1400-tallet.	1851	1851	15	I Sverrig	123	1	v15:123 (1851)	high	se-kort	
danske Maanedskrift for Litteratur	danske Maanedskrift for Litteratur	omtalen er ikke lokaliseret, men digtet er »Veirmøllen paa Bakken« i Phantasier og Skizzer, 1831: »Dog Maanens Lys er ikke slukt, Thi see en Regnbue hvælver smukt«; jf. denne udgave bd. 7 s. 274.	1846	1846	16	Mit eget Eventyr uden Digtning	260	1	v16:260 (1846)	medium	located+place-type	
Dardaneller	Dardaneller	smalt stræde mellem Europa og Asien i det nordvestlige Tyrkiet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	297	1	v17:297 (1855)	medium	located+place-type	
Dardanellerne	Dardanellerne	smalt stræde mellem Europa og Asien i det nordvestlige Tyrkiet.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	218	1	v17:218 (1855)	medium	located+place-type	
de Dødes … Mindernes by	de Dødes … Mindernes by	H.C. Andersen citerer og bygger her på Pontin, s. 9.	1851	1851	15	I Sverrig	35	1	v15:35 (1851)	medium	located	
de Fattiges Kirkegaard	de Fattiges Kirkegaard	kirkegård for ubemidlede. I Odense en del af kirkegården hørende til Sankt Knuds Kirke.	1832	1832	16	Levnedsbog	104	1	v16:104 (1832)	medium	located	
