place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Fondi	Fondi	mindre by syd for Terracina.	1835	1835	4	Improvisatoren	206	1	v4:206 (1835)	high	in-register+head-noun+located+place-type	geo-3176843
Fraskati	Fraskati	by tæt ved Tusculum.	1835	1835	4	Improvisatoren	189	1	v4:189 (1835)	high	head-noun+located+place-type	
Frederikssteens Fæstning	Frederikssteens Fæstning	fæstningen i Frederikshald (nu Halden, Norge).	1836	1836	4	O. T.	520	1	v4:520 (1836)	high	head-noun+located+place-type	
Frederikssteens … Fæstning	Frederikssteens … Fæstning	fæstningen i Frederikshald (nu Halden, Norge), hvor Karl 12. faldt 1718.	1836	1836	4	O. T.	391	1	v4:391 (1836)	high	head-noun+located+place-type	
Frøkenklosteret	Frøkenklosteret	Odense Adelige Jomfrukloster (Karen Brahes Kloster).	1836	1836	4	O. T.	587	1	v4:587 (1836)	high	head-noun+place-type	
fuldendt før Kirken	fuldendt før Kirken	den nuværende Peterskirke blev opført 1506-1626.	1835	1835	4	Improvisatoren	181	1	v4:181 (1835)	high	head-noun+place-type	
Fusina	Fusina	kystby på fastlandet vest for Venezia.	1835	1835	4	Improvisatoren	346	1	v4:346 (1835)	high	head-noun+located+place-type	
første Hovedstad	første Hovedstad	vigtigste hovedstad.	1836	1836	4	O. T.	588	1	v4:588 (1836)	high	head-noun+place-type	
første Plads	første Plads	fornemste plads.	1835	1835	4	Improvisatoren	125	1	v4:125 (1835)	high	head-noun+place-type	
første Stad	første Stad	vigtigste by.	1835	1835	4	Improvisatoren	129	1	v4:129 (1835)	high	head-noun+place-type	
hellig Anders	hellig Anders	Hellig-Anders (død 1205) var præst ved Skt. Peders kirke i Slagelse og skal ifølge sagnet under en pilgrimsrejse være blevet bragt hjem af en rytter på få timer, så han kunne vågne op på Hvilehøj uden for Slagelse.	1836	1836	4	O. T.	404	1	v4:404 (1836)	medium	located+place-type	
Herculanum og Pompeji	Herculanum og Pompeji	to oldtidsbyer, der blev begravet ved Vesuvs udbrud 79 e.Kr.	1835	1835	4	Improvisatoren	222	1	v4:222 (1835)	medium	located	
Ischia	Ischia	ø sydvest for Napoli.	1835	1835	4	Improvisatoren	282	1	v4:282 (1835)	high	head-noun+located+place-type	
Isola bella	Isola bella	(italiensk) den smukke ø; en af de borromæiske øer.	1836	1836	4	O. T.	624	1	v4:624 (1836)	high	head-noun+place-type	
Itri	Itri	mindre by syd for Terracina.	1835	1835	4	Improvisatoren	206	1	v4:206 (1835)	high	head-noun+located+place-type	
Kirke	Circe(s)	Kirke, troldkvinde i Odysseens 10. sang, der forvandlede Odysseus’ (Ulysses’) mænd til svin.	1835	1835	4	Improvisatoren	200	1	v4:200 (1835)	high	head-noun+located+place-type	
Kirkegaard	Kirkegaard(s)	Nikolai Kirkegård i København (senere sløjfet).	1836	1836	4	O. T.	370	1	v4:370 (1836)	medium	located+place-type	
Kirsten Piil	Kirsten Piil(s)	bondepige, som i 1500tallet opdagede en kilde i Dyrehaven. Omkring denne voksede Dyrehavsbakken op.	1836	1836	4	O. T.	391	1	v4:391 (1836)	medium	located+place-type	
Klokkedybet	Klokkedybet	i »Bemærkninger«, 1868, skriver H.C. Andersen om klokkedybet: »Klokkedybet er udsprunget af Folketroen om Aamanden i Odense Aa og Sagnet om Kirkeklokken, der svang sig ud fra Albani Kirketaarn« (denne udgaves bind 3, s. 383). Sagnet kendes fra Thiele 1, 2, s. 29 f., hvor det dog er klokkerne i Skt. Knuds Kirke, der fløj, fordi man ringede for stærkt med dem.	1836	1836	4	O. T.	587	1	v4:587 (1836)	high	in-register	place-000004
La Scala	La Scala | La scala	Milanos operahus, Teatro alla Scala.	1835	1835 1836	4	Improvisatoren	348	2	v4:348 (1835); v4:587 (1836)	high	in-register	geo-6949434
Lago Maggiore	Lago Maggiore	sø i Norditalien.	1836	1836	4	O. T.	624	1	v4:624 (1836)	high	in-register+head-noun+located+place-type	geo-2659792
Landsby	Landsby	Valby.	1836	1836	4	O. T.	401	1	v4:401 (1836)	high	head-noun+place-type	
Laokoon	Laokoon	antik skulptur af den trojanske præst Laokoon og hans to sønner, som på Apollons bud dræbes af slanger.	1835	1835	4	Improvisatoren	132	1	v4:132 (1835)	medium	located	
Le Locle	Le Locle	schweizisk by, kendt som urmagerby, tæt på grænsen til Frankrig vest for Neuchâtel.	1836	1836	4	O. T.	450	1	v4:450 (1836)	medium	located+place-type	
Ledreborg	Lethraborg	Ledreborg, hovedgård ved Lejre.	1836	1836	4	O. T.	508	1	v4:508 (1836)	high	head-noun+located+place-type	
Lyneborg Sand	Lyneborg Sand	den Lüneburgske Hede i Nordtyskland.	1836	1836	4	O. T.	435	1	v4:435 (1836)	high	head-noun+located+place-type	
Marmorkirken	Marmorkirken	Frederikskirken henlå af økonomiske grunde ufuldført, indtil C.F. Tietgen tog initiativ til kirkens fuldførelse i 1874.	1836	1836	4	O. T.	530	1	v4:530 (1836)	high	head-noun+place-type	
Minturna	Minturna	oldtidsby i Latium, dvs. slettelandet sydvest for Tiberen; kontrollerede broen over Liris på den romerske Via Appia.	1835	1835	4	Improvisatoren	210	1	v4:210 (1835)	high	head-noun+located+place-type	
Minuri og Majurí	Minuri og Majurí	Minori og Majori, to tætliggende byer lige syd for Amalfi.	1835	1835	4	Improvisatoren	265	1	v4:265 (1835)	medium	located+place-type	
Mola di Gaeta	Mola di Gaeta	befæstet forstad til Gaeta mellem Terracina og Napoli.	1835	1835	4	Improvisatoren	200	1	v4:200 (1835)	high	in-register+located+place-type	place-000077
Monte Cavo	monte cave	Monte Cavo, det højeste bjerg i Albanerbjergene.	1835	1835	4	Improvisatoren	80	1	v4:80 (1835)	medium	located+place-type	
monte Mario	monte Mario	bjerg nordvest for Rom.	1835	1835	4	Improvisatoren	183	1	v4:183 (1835)	high	in-register+head-noun+located+place-type	place-000069
monte pincio	monte pincio	bjerg op imod Villa Borghese, Borghesefamiliens villa med tilhørende park, begge anlagt 1605.	1835	1835	4	Improvisatoren	62	1	v4:62 (1835)	high	head-noun+place-type	
monte Soracte	monte Soracte	bjerg ca. 40 km nord for Rom.	1835	1835	4	Improvisatoren	308	1	v4:308 (1835)	high	head-noun+located+place-type	
Nepi	Nepi	lille by ved monte Soracte.	1835	1835	4	Improvisatoren	308	1	v4:308 (1835)	high	in-register+head-noun+place-type	geo-3172322
Nonnebakke	Nonnebakke	bakke syd for Odense Å, tæt på Skt. Knuds Kirke, hvor der i middelalderen lå et nonnekloster.	1836	1836	4	O. T.	596	1	v4:596 (1836)	high	head-noun+located+place-type	
Olympen	Olympen	bjergmassiv i Thessalien; i græsk mytologi gudernes bolig.	1836	1836	4	O. T.	413	1	v4:413 (1836)	medium	located	
Omvendelses-Prædiken	Omvendelses-Prædiken	skikken med at tvinge jøderne til omvendelsesprædiken om søndagen i Sant’Angelo in Pescheria ophørte først 1848.	1835	1835	4	Improvisatoren	129	1	v4:129 (1835)	medium	located	
Padua	Padua	by på Posletten.	1835	1835	4	Improvisatoren	335	1	v4:335 (1835)	high	head-noun+located+place-type	
Paestum	Paestum	oldtidsby ved kysten, 55 km sydøst for Napoli.	1835	1835	4	Improvisatoren	253	1	v4:253 (1835)	high	head-noun+located+place-type	
Palazzo del Doria	Palazzo del Doria	palads i den sydlige ende af corsoen, Roms hovedstrøg.	1835	1835	4	Improvisatoren	138	1	v4:138 (1835)	high	head-noun+place-type	
Pantheon	Pantheon	antikt rundtempel i Rom, senere indrettet til kirke; kirke i Paris, oprindeligt Sainte-Geneviève, bygget 1757-1789, som efter den franske revolution blev omdannet til begravelsessted for betydningsfulde franske personligheder.	1836	1836	4	O. T.	530	1	v4:530 (1836)	high	in-register+located+place-type	geo-6619450
Peterskirken	Roms 7 hellige Kirker	Peterskirken, San Giovanni in Laterano, San Paolo fuori le Mura, Santa Maria Maggiore, Santa Croce in Gerusalemme, San Lorenzo fuori le Mura og San Sebastiano.	1835	1835	4	Improvisatoren	167	1	v4:167 (1835)	high	head-noun+place-type	
Piazza colonna	Piazza colonna	plads midtvejs på corsoen med navn efter Marcus Aurelius-søjlen.	1835	1835	4	Improvisatoren	141	1	v4:141 (1835)	high	head-noun+place-type	
Piazza del Popolo	Piazza del Popolo	(italiensk) folkets plads; stor plads i det centrale Rom.	1835	1835	4	Improvisatoren	86	1	v4:86 (1835)	high	in-register+place-type	geo-6954102
Pissevache	Pissevache	berømt vandfald ved Trient-floden i den schweiziske kanton Wallis.	1836	1836	4	O. T.	622	1	v4:622 (1836)	medium	located+place-type	
ponte molle	ponte molle	bro over Tiberen uden for Rom, Den Milviske Bro, jf. H.C. Andersens note.	1835	1835	4	Improvisatoren	100	1	v4:100 (1835)	high	head-noun+place-type	
Posilipo-Grotten	Posilipo-Grotten	naturskabt tunnel på kystvejen vest for Napoli.	1835	1835	4	Improvisatoren	217	1	v4:217 (1835)	medium	located	
Qvirinalet	Qvirinalet	palads syd for Piazza Barberini; den pavelige residens på romanens affattelsestidspunkt.	1835	1835	4	Improvisatoren	65	1	v4:65 (1835)	high	head-noun+located+place-type	
Reformationsfesten	Reformationsfesten	kirke- eller universitetsfest til minde om reformationen 1536; afholdes den 31. oktober.	1836	1836	4	O. T.	473	1	v4:473 (1836)	high	head-noun+place-type	
Rocca del Papa	Rocca del Papa	by i Albanerbjergene 22 km sydøst for Rom.	1835	1835	4	Improvisatoren	185	1	v4:185 (1835)	high	head-noun+located+place-type	
Rudera	Rudera	(latin) ruiner, rester.	1835	1835 1836	4	Improvisatoren	66	2	v4:66 (1835); v4:587 (1836)	high	head-noun+place-type	
Salerno	Salerno	kystby i Salernobugten syd for Amalfi.	1835	1835	4	Improvisatoren	257	1	v4:257 (1835)	high	head-noun+located+place-type	
Sanct Elmo	Sanct Elmo	fæstning på Napolis højeste punkt.	1835	1835	4	Improvisatoren	202	1	v4:202 (1835)	high	head-noun+located+place-type	
Sancta Agathe	Sancta Agathe	lille by ca. 50 km nord for Napoli.	1835	1835	4	Improvisatoren	208	1	v4:208 (1835)	high	head-noun+located+place-type	
Sanderumgaard	Sanderumgaard	hovedgård 11 km sydøst fra Odense.	1836	1836	4	O. T.	594	1	v4:594 (1836)	high	head-noun+located+place-type	
Sanit Sulpice	Sanit Sulpice	kirke i Paris.	1836	1836	4	O. T.	423	1	v4:423 (1836)	high	head-noun+located+place-type	
Semiramis	Semiramis	assyrisk sagndronning, som ifølge sagnet skal have anlagt hængende haver på Babylons terrasser. Andre sagn tilskriver Nebukadnezar æren.	1835	1835	4	Improvisatoren	265	1	v4:265 (1835)	medium	located+place-type	
Sodoma og Gomorra	Sodoma og Gomorra	to byer i Palæstina, der ifølge 1. Mosebog 19 blev ødelagt af Jahve på grund af indbyggernes moralske fordærv.	1836	1836	4	O. T.	447	1	v4:447 (1836)	medium	located+place-type	
Spoleto	Spoleto	by nord for Rom i Appenninerne.	1835	1835	4	Improvisatoren	311	1	v4:311 (1835)	high	in-register+head-noun+located+place-type	geo-3166236
St. Denis	St. Denis	by nord for Paris, i hvis klosterkirke de franske kongers kister er hensat.	1836	1836	4	O. T.	401	1	v4:401 (1836)	high	head-noun+located+place-type	
Sø	Sø	hav.	1836	1836	4	O. T.	457	1	v4:457 (1836)	high	head-noun+place-type	
Terni	Terni	by 50 km nord for Nepi.	1835	1835	4	Improvisatoren	309	1	v4:309 (1835)	high	in-register+head-noun+located+place-type	geo-3165771
Terracina	Terracina	kystby ca. 125 km nord for Napoli.	1835	1835	4	Improvisatoren	196	1	v4:196 (1835)	high	in-register+head-noun+located+place-type	geo-3165762
Tivoli	Tivoli	by øst for Rom ved foden af Sabinerbjergene.	1835	1835	4	Improvisatoren	296	1	v4:296 (1835)	high	in-register+head-noun+located+place-type	geo-3165624
Toledogade	Toledogade	berygtet gade i Napoli.	1835	1835	4	Improvisatoren	283	1	v4:283 (1835)	medium	located+place-type	
Trajanspladsen	Trajanspladsen	muligvis pladsen ved Trajansøjlen, tæt på Trajans Markeder.	1835	1835	4	Improvisatoren	283	1	v4:283 (1835)	medium	located+place-type	
Trastevere	Trastevere	bydel i Rom på den anden side (trans) af Tiberen (tevere), dvs. modsat den antikke bys centrum.	1835	1835	4	Improvisatoren	138	1	v4:138 (1835)	high	head-noun+located+place-type	
Triest	Triest	by øst for Venezia på Istrien ved Adriaterhavet.	1835	1835	4	Improvisatoren	335	1	v4:335 (1835)	high	head-noun+located+place-type	
Tuilerierne	Tuilerierne	det tidligere residensslot i Paris, sammenbygget med Louvre.	1836	1836	4	O. T.	423	1	v4:423 (1836)	high	head-noun+located+place-type	
Tuskulum	Tuskulum	oldtidsby med enkelte bevarede ruiner ca. 20 km sydøst for Rom.	1835	1835	4	Improvisatoren	189	1	v4:189 (1835)	high	head-noun+located+place-type	
Verona	Verona	på den nordlige del af Posletten øst for Gardasøen; byen er kendt for sit romerske amfiteater.	1835	1835	4	Improvisatoren	347	1	v4:347 (1835)	high	in-register+place-type	geo-3164527
Vestervovov	Vestervovov	Vesterhavet.	1836	1836	4	O. T.	373	1	v4:373 (1836)	high	head-noun+place-type	
Vicenza	Vicenza	by nord for Padua.	1835	1835	4	Improvisatoren	347	1	v4:347 (1835)	high	head-noun+located+place-type	
Villa d’ Este	Villa d’ Este	haveanlæg ved Tivoli med hundreder af springvand, anlagt omkring 1600 af kardinal d’Este.	1835	1835	4	Improvisatoren	299	1	v4:299 (1835)	medium	located	
