place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Høien	Høien	den saakaldte »Ewalds Høj« i gården Rungstedlunds have i Hørsholm. Rungsted Kros bygninger blev i begyndelsen af 1800-tallet hovedbygninger for Rungstedlund.	1807	1807	12	Lykkens Blomst	68	1	v12:68 (1807)	medium	located	
Josaphats-Dalen	Josaphats-Dalen	dal nord for Jerusalem; if. Joels Bog 3,7-13 det sted, hvor Jehova ville foranstalte det endelige opgør med Israels fjender, og som siden 4. årh. har været identificeret som den sydligere Kedrondal.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	273	1	v12:273 ()	high	head-noun+located+place-type	
Jægersborg Dyrehave	Dyrehaven	Jægersborg Dyrehave, yndet udflugtsmål for københavnerne. If. et sagn opdagede bondepigen Kirsten Piil i 1500-tallet en kilde i Dyrehaven. Kilden blev i 1700-tallet et valfartssted; omkring det udviklede Dyrehavsbakkens forlystelser sig.	1845	1845	12	Den nye Barselstueallusion til Holbergs komedie <i>Barselstuen</i>, opført 1723, trykt 1724.Den nye Barselstue	138	1	v12:138 (1845)	high	head-noun+place-type	
Kaninstokslægten	Kaninstokslægten	Ole Kaninstok er navnet på en gammel sømand i Capriciosa.	1848	1848	12	Kunstens Dannevirkevoldkompleks, der fra 600-1200-tallet var et forsvar ved rigets sydgrænse. Det sene Dannevirke bestod af store jordvolde, der i anden halvdel af 1100-tallet afsluttedes med Valdemarsmuren, opført i tegl af Valdemar 1. den Store. Under de slesvigske krige kom Dannevirke til at udgøre rygraden i en moderne feltstilling. Nationalromantiske forestillinger om, at Dannevirke skulle kunne holde stand over for tyskerne, gav fæstningsanlægget symbolværdi.Dannevirke	360	1	v12:360 (1848)	medium	located	
Kedron	Kedron(s)	dal og bæk mellem Jerusalem og Oliebjerget. Jesus gik over Kedrons bæk til sine lidelser, jf. Johannes 18,1.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	250	1	v12:250 ()	high	head-noun+located+place-type	
Kirsten Piil	Kirsten Piil	if. traditionen navnet på den kvinde, der 1583 fandt den hellige kilde i Jægersborg Dyrehave. Kilden skal være istandsat 1732 af de to venner Brinchmann og Greve, der sandsynligvis har opdigtet navnet; »Kirsten« er kendt fra folkeviserne; tilnavnet »Pil« skal angive, at kvinden hørte til de folk, der ifølge folketroen kunne »vise vand«. Kendt som figur i Oehlenschlägers »Sanct Hansaften-Spil«, Digte, 1803.	1807	1807	12	Lykkens Blomst	56	1	v12:56 (1807)	medium	located+place-type	
Kirsten Piil … Tivoli	Kirsten Piil … Tivoli	if. et sagn opdagede en bondepige, Kirsten Piil, i 1500-tallet en kilde i Dyrehaven. Kilden blev i 1700-tallet et valfartssted; omkring det udviklede Dyrehavsbakkens forlystelser sig. Dyrehaven var, indtil Tivoli blev åbnet for offentligheden, forlystelsesattraktion nr. 1 for københavnerne.	1849	1849	12	Meer end Perler og Guld	489	1	v12:489 (1849)	medium	located+place-type	
Laxegaden	Laxegaden	gade i indre København, hvor prostituerede holdt til.	1849	1849	12	Meer end Perler og Guld	471	1	v12:471 (1849)	high	head-noun+place-type	
Med Lov skal bygges	Med Lov skal bygges	ordene »Med lov skal land bygges« indleder fortalen til Jyske Lov, der blev udstedt 1241 af Valdemar 2. Sejr.	1807	1807	12	Lykkens Blomst	109	1	v12:109 (1807)	medium	located	
Møntergaden	Møntergaden	sidegade til Gothersgade.	1846	1846	12	Hr. Rasmussen	172	1	v12:172 (1846)	high	head-noun+located+place-type	
Nebobjerget	Bjerget	Nebobjerget, jf. 5. Mosebog 34,1-4.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	269	1	v12:269 ()	high	head-noun+place-type	
Palnatoke	Palnatoke	sørgespil af samme, opført på Det Kongelige Teater 1809.	1848	1848	12	Kunstens Dannevirkevoldkompleks, der fra 600-1200-tallet var et forsvar ved rigets sydgrænse. Det sene Dannevirke bestod af store jordvolde, der i anden halvdel af 1100-tallet afsluttedes med Valdemarsmuren, opført i tegl af Valdemar 1. den Store. Under de slesvigske krige kom Dannevirke til at udgøre rygraden i en moderne feltstilling. Nationalromantiske forestillinger om, at Dannevirke skulle kunne holde stand over for tyskerne, gav fæstningsanlægget symbolværdi.Dannevirke	364	1	v12:364 (1848)	medium	located	
PhilisternePhilistrene	PhilisternePhilistrene	Israels vestlige naboer på kyststrækningen fra Gaza til Jaffa (som nu er en del af Tel Aviv).			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	250	1	v12:250 ()	medium	located	
Propheternes Dom	Propheternes Dom	Jesus spåede Jerusalems ødelæggelse, bl.a. i Matthæus 24, hvor han i v. 15 henviser til profeten Daniels forudsigelser, Daniels Bog 9,27.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	274	1	v12:274 ()	medium	located	
Psephenon	Psephenon	tårnet Psefinos i det nordvestlige Jerusalem, bygget af Herodes d. Store.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	271	1	v12:271 ()	high	head-noun+place-type	
Spatzier	Hr. Spatzier i Virtuosen	Spatzier, herremanden v. Borgens inspektør i P.A. Heibergs komedie Virtuosen Nr. 2, opført på Det Kongelige Teater 1793.	1848	1848	12	Kunstens Dannevirkevoldkompleks, der fra 600-1200-tallet var et forsvar ved rigets sydgrænse. Det sene Dannevirke bestod af store jordvolde, der i anden halvdel af 1100-tallet afsluttedes med Valdemarsmuren, opført i tegl af Valdemar 1. den Store. Under de slesvigske krige kom Dannevirke til at udgøre rygraden i en moderne feltstilling. Nationalromantiske forestillinger om, at Dannevirke skulle kunne holde stand over for tyskerne, gav fæstningsanlægget symbolværdi.Dannevirke	360	1	v12:360 (1848)	medium	located	
Tivoli	Tivoli	grundlagt 1843 af Georg Carstensen.	1845	1845 1846	12	Den nye Barselstueallusion til Holbergs komedie <i>Barselstuen</i>, opført 1723, trykt 1724.Den nye Barselstue	138	2	v12:138 (1845); v12:177 (1846)	high	in-register	geo-3165624
Tjeneste	Tjeneste	plads.	1849	1849	12	Meer end Perler og Guld	471	1	v12:471 (1849)	high	head-noun+place-type	
Østens Patriark	Østens Patriark	den kristne kirke blev fra 395 gradvist delt i en vestlig og en østlig med henholdsvis paven i Rom og paven i Konstantinopel som magtcentrer.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	302	1	v12:302 ()	high	head-noun+place-type	
