place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Petri	Petri	Skt. Petri Kirke i Sankt Peders Stræde i København.			7	Hjertesuk af en udtjent Damekjole	53	1	v7:53 ()	medium	located+place-type	
Portici	Portici	italiensk by ved foden af Vesuv, sydøst for Napoli.	1836	1836	7	Vandring paa Vesuv. Ved Eruptionen om Aftenen den 24 Februar 1834	496	1	v7:496 (1836)	high	in-register+place-type	geo-3170116
Rundetaarn … Bibliotheket	Rundetaarn … Bibliotheket	fra 1657-1861 lå Universitetsbiblioteket i den store sal over kirkerummet i Trinitas Kirke, hvortil der var adgang fra den femte vinding i Rundetårns sneglegang.	1830	1830	7	Digte	62	1	v7:62 (1830)	medium	located	
Sanct Peter	Sanct Peter(s)	Peterskirken.	1835	1835	7	En lille Flugt til Rom den 8de Marts 1835	484	1	v7:484 (1835)	high	head-noun+place-type	
Sanct Peters Dom	Sanct Peters Dom	Peterskirken i Rom.	1836	1836	7	Sang ved Romergildet den 8de Marts 1836	500	1	v7:500 (1836)	high	head-noun+place-type	
Skibet … Hvirvelvind	Skibet … Hvirvelvind	jf. Oehlenschlägers digt »Til Havet« i kapitel 29 af Øen i Sydhavet, 1824.	1832	1832	7	Vignetter til danske Digtere	324	1	v7:324 (1832)	medium	located+place-type	
Skibet … Oehlenschläger	Skibet … Oehlenschläger	fra Oehlenschlägers digt »Til Havet« i kapitel 29 af Øen i Sydhavet, 1824.	1831	1831	7	Phantasier og Skizzer	252	1	v7:252 (1831)	medium	located+place-type	
Slottet Chillon	Slottet Chillon	middelalderborg ved Genèvesøen (Lac Léman) tæt ved Montreux.	1836	1836	7	Af Digte	489	1	v7:489 (1836)	high	head-noun+located+place-type	
Spanien	Tajos og Ebros … Land	Spanien; floden Tajo udspringer i Spanien og udmunder i Portugal, mens Ebro kun løber i Spanien.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	373	1	v7:373 (1833)	high	head-noun+place-type	
Sydlands-Ø	Sydlands-Ø	fjerntliggende ø langt mod syd.	1830	1830	7	Digte	136	1	v7:136 (1830)	high	head-noun+place-type	
Tanker i vingede … Hauch	Tanker i vingede … Hauch	fantasiens første replik i Carsten Hauchs »Søfarten« i Athene, december, 1816; hvor H.C. Andersen skriver »Flugt, jeg skimter« og »ned!«, har Hauch »Flugt jeg skimter,« og »hen.«.	1831	1831	7	Phantasier og Skizzer	270	1	v7:270 (1831)	medium	located	
Toulon … Napoleon den Store	Toulon … Napoleon den Store	den franske Middelhavsby Toulon, øst for Marseille, blev i 1793 besat af den engelsk-franske hær, men blev generobret af revolutionære tropper anført af den unge kaptajn Napoléon Bonaparte, den senere Napoleon 1.	1831	1831	7	Phantasier og Skizzer	230	1	v7:230 (1831)	high	head-noun+place-type	
Vi følge Hakon … borg	Vi følge Hakon … borg	jf. Oehlenschläger »Hakon Jarl hin Rige. Et Sørgespil« fra Nordiske Digte, 1807, s. 233-423; Thora er Jarlens kæreste.	1832	1832	7	Vignetter til danske Digtere	333	1	v7:333 (1832)	medium	located	
