place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Christiansdals Stamhuus	Christiansdals Stamhuus	hovedgård syd for Odense, egentlig Dalum Kloster, i perioden 1682-1930 kaldet Christiansdal. Fra slutningen af 1100-tallet til 1580, hvor den sidste nonne døde, fungerede det som benediktinerkloster.	1822	1822	9	Ungdoms-Forsøg	64	1	v9:64 (1822)	high	head-noun+located+place-type	
Colonnade-Gangen	Colonnade-Gangen	søjlegangen ved Christiansborg Slot {E2-E3}.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	178	1	v9:178 (1829)	medium	located+place-type	
Corso	Corso	(italiensk) løb; betegnelse for hoved- eller strøggader i en række storbyer. I Rom er Via del Corso en smal gade, der løber fra Piazza del Popolo til Piazza Venezia.	1854	1854	9	Folkekalender for Danmark	445	1	v9:445 (1854)	medium	located	
Corso … Toledo	Corso … Toledo	strøggader i henholdsvis Rom og Napoli, hvor borgerne promenerer som på Strøget, Østergade, i København {E4-E6}.	1838	1838	9	Tre Digtninger	297	1	v9:297 (1838)	medium	located	
Dalum	Dalum	landsby tæt ved Odense; nu bydel ca. 4 km fra Odense centrum.	1822	1822	9	Ungdoms-Forsøg	62	1	v9:62 (1822)	high	in-register+head-noun+located+place-type	place-000009
Den Engelske Kanal	Canalen	Den Engelske Kanal, farvandet mellem England og Frankrig, der forbinder Nordsøen med Atlanterhavet.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	418	1	v9:418 (1844)	high	head-noun+located+place-type	
Dom	Dom	domkirke.	1838	1838	9	Tre Digtninger	353	1	v9:353 (1838)	high	head-noun+place-type	
Fezzan	Fezzan(s)	provins i Libyen.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	387	1	v9:387 (1840)	high	head-noun+located+place-type	
Fiskeren	Fiskeren	de to historier om fiskeren og ånden findes i Tusind og én nat.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	220	1	v9:220 (1829)	medium	located	
Fos	Fos(sens)	vandfald.	1822	1822	9	Ungdoms-Forsøg	80	1	v9:80 (1822)	high	head-noun+place-type	
Fredensborg	Fredensborg	Fredensborg Slotskirke.	1860	1860	9	Illustreret Tidende	459	1	v9:459 (1860)	high	in-register+head-noun+place-type	geo-2621956
Frederiksborg Slot	Frederiksborg	Frederiksborg Slot, tidligere konge- og jagtslot ved Hillerød nord for København; erhvervet af Frederik 2. (1534-1588; konge fra 1559), 1602-1625 lod Christian 4. de gamle bygninger nedrive og det nuværende slot opføre.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	182	1	v9:182 (1829)	high	head-noun+located+place-type	geo-2621938
Goethe … Familien	Goethe … Familien	øjensynligt henvisning til J.W. von Goethes digt »Erlkönig« fra syngespillet Die Fischerin, 1782; selvstændiggjort og optaget i »Vermischte Gedichte«, Goethe’s Schriften, bind 8, 1789.	1875	1875	9	Nær og Fjern	567	1	v9:567 (1875)	medium	located	
Grönne Gade	Grönne Gade	Store Grønnegade {D5-D6} eller Lille Grønnegade (efter 1795: Ny Adelgade {E6}), gader i det indre København, som Bertel Thorvaldsen begge har boet i.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	391	1	v9:391 (1840)	high	head-noun+place-type	
Haarlemmer	Haarlemmer(-Tulipaner)	fra Haarlem, by i Holland.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	239	1	v9:239 (1829)	medium	located+place-type	
Hamilton	Hamilton	byen Hamilton i Skotland (sydvest for Glasgow), hvorfra David Livingstone oprindelig kom, og hvor en stor del af hans familie var bosat.	1872	1872	9	Berlingske politiske og Avertissements-Tidende	555	1	v9:555 (1872)	high	head-noun+place-type	
»Han slumred’derinde«	»Han slumred’derinde«	»Han slumred derinde, han slumred saa sødt« fra Anden Handling af Adam Oehlenschlägers syngestykke Faruk med musik af C.E.F. Weyse, opført første gang på Det Kgl. Teater i 1812.	1829	1829	9	Kjøbenhavns-Posten	474	1	v9:474 (1829)	medium	located	
Havblik	Havblik	havet ved vindstille, blank vandflade.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	394	1	v9:394 (1840)	high	head-noun+place-type	
I Sevillas Dom … ei Digt	I Sevillas Dom … ei Digt	katedralen Santa Maria de la Sede (påbegyndt 1402) indeholder mere end 30 kapeller og indtil flere malerier af Madonna med barnet. Historien er øjensynligt kalkeret over den spanske maler Sebastian Gomez’ skæbne. Sebastian Gomez, også kaldet »El Mulato« (spansk) mulatten, var kendt for at kopiere Bartolomé Esteban Murillos farver og var muligvis endda også hans slave; han blev krøbling efter at være faldet ned fra et stillads, mens han var ved at sætte farver på et af Murillos billeder, og døde kort efter i 1682. I en katalog fra Museo de Murillo i Sevilla findes et inventar over de forfalskninger af værker, Murillos elever lavede. Her nævnes bl.a. en Purísima Concepción, (spansk) den ubesmittede undfangelse, som i sin tid blev købt som en ægte Murillo, og som bl. a. har hængt i Santa Maria de la Sede frem til 1835. H.C. Andersens kilde er ukendt.	1838	1838	9	Tre Digtninger	353	1	v9:353 (1838)	high	head-noun+place-type	
Inqvisitores	Inqvisitores	den katolske kirke oprettede 1231 inkvisitionen for at bekæmpe kætteri; specielt den spanske inkvisition var kendt for sin grusomhed.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	239	1	v9:239 (1829)	high	head-noun+place-type	
italienske Qvinder ved Brønden	italienske Qvinder ved Brønden	et arbejde udført i 1845, hvor hun opholdt sig i Ariccia i bjergene ved Rom; jf. Illustreret Tidende, nr. 452, 24. maj 1868: »Ved den sidstnævnte By ville vi dvæle; her opholdt hun sig længst, og her var det at hun paavirkedes af Indtryk, der dannede et Centrum i hendes Konstnervirksomhed i Rom, idet hun har fastholdt dem paa Lærredet og udtalt, hvad der saa stærkt bevægede hendes Phantasi. Det var især disse deilige Kvinder med deres antiktformede Concaer paa Hovedet, hentende Vand fra Fontainerne, der opfyldt hende og gav hende Motivet til et stort Billede, som nu befinder sig i England i Middelton Abbey, Baron Hambros Majoratgods« (s. 298).	1854	1854	9	Folkekalender for Danmark	446	1	v9:446 (1854)	medium	located+place-type	
Langelinie	Langelinie	før den nuværende promenade navnet på en spadseresti ved Kastelsvolden {E12-E13-D13}.	1838	1838	9	Tre Digtninger	311	1	v9:311 (1838)	medium	located+place-type	
Lethe	Lethe	i græsk mytologi en kilde eller biflod til Styx, dødsrigets flod; ved at drikke af Lethes vande glemmer den døde sit tidligere liv.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	245	1	v9:245 (1829)	medium	located+place-type	
Marmorkirken reiste sig fuldført	Marmorkirken reiste sig fuldført	Marmorkirken eller Frederiks Kirke {E8} blev grundlagt 1749, men arbejdet standset 1770 på grund af stigende priser på marmor. Bygningen henlå indtil C.F. Tietgen (1829-1901) i 1874 købte den og lod den fuldføre, dog mindre end oprindelig planlagt. Kirken i dens endelige form blev indviet 1894.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	181	1	v9:181 (1829)	high	head-noun+place-type	
Nicolaitaarn	Nicolaitaarn	tårnet på Nicolai Kirke {E4}.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	429	1	v9:429 (1844)	high	head-noun+located+place-type	
Nonnebakke	Nonnebakke	bakke syd for Odense Å, tæt ved Skt. Knuds Kirke; oprindelig lå her en ringborg eller trelleborg (Burgh), der i middelalderen tilhørte Skt. Knuds Kloster og deraf fik navnet Nundeborrig, dvs. nonneborg.	1822	1822	9	Ungdoms-Forsøg	49	1	v9:49 (1822)	high	head-noun+located+place-type	
Nonnebakken	Nonnebakken	bakke syd for Odense Å, tæt ved Skt. Knuds Kirke; oprindelig lå her en ringborg eller trelleborg (Burgh), der i middelalderen tilhørte Skt. Knuds Kloster og deraf fik navnet Nundeborrig, dvs. nonneborg.	1822	1822	9	Ungdoms-Forsøg	53	1	v9:53 (1822)	high	in-register+head-noun+located+place-type	place-000005
Novaja Zemlja	Novaia Sembla	Novaja Zemlja, (russisk) det nye land; øgruppe i Det Nordlige Ishav (siden 1877 hørende under Rusland).	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	209	1	v9:209 (1829)	high	head-noun+located+place-type	
Nyboder	Nyboder	bydel i København, påbegyndt af Christian 4. (1577-1649; konge fra 1596) som boliger for søværnets faste mandskab.	1838	1838	9	Tre Digtninger	317	1	v9:317 (1838)	high	head-noun+located+place-type	
Nysø	Nysø	hovedgård og gods fra 1670 ved Præstø; på denne tid ejet af baron Hendrik Stampe (1794-1876) og baronesse Christine Stampe; efter sin hjemkomst fra Rom i 1838 var Thorvaldsen en hyppig gæst på Nysø, hvor også H.C. Andersen ofte kom. ¶ hovedgård og gods fra 1670 ved Præstø; på H.C. Andersens tid ejet af baron Hendrik Stampe (1794-1876) og hans hustru Christine Stampe, født Dalgas (1797-1868); i sine sidste leveår boede Bertel Thorvaldsen ofte på Nysø, hvor man lod bygge et atelier til Thorvaldsen, som indviedes 24. juli 1839.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	414	2	v9:414 (1844); v9:431 (1844)	high	in-register+head-noun+located+place-type	geo-2615912
Odense Domkirke	Sanct Knuds Taarn	Odense Domkirke, Skt. Knuds Kirke, er opført i anden halvdel af 1200-tallet; kirketårnet stammer fra 1500-tallet.	1822	1822	9	Ungdoms-Forsøg	54	1	v9:54 (1822)	high	head-noun+place-type	
Peterskirken	Peterskirken(s)	den romersk-katolske kirkes hovedsæde i Vatikan-staten i Rom, indviet til apostelen Peter.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	383	1	v9:383 (1840)	medium	located	
Petri-Taarn	Petri-Taarn	tårnet på Skt. Petri Kirke {B3} i St. Peder-Stræde. Tårnvægterne holdt i byernes kirketårne udkig efter ildebrande, skibes ankomst etc. samt udråbte klokkeslættene for natvægterne, der patruljerede i byens gader.	1829	1829	9	Kjøbenhavns-Posten	473	1	v9:473 (1829)	high	head-noun+located+place-type	
Plaine	Plaine(r)	slette.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	379	1	v9:379 (1840)	high	head-noun+place-type	
Pompeji	Pompeji	antik havneby ved Napolibugten, som blev begravet af aske og pimpsten under Vesuvs udbrud i 79 e.Kr. De første spredte udgravninger af byen påbegyndtes i 1748, men en systematisk udgravning tog først fart i 1861 under ledelse af den italienske arkæolog Giuseppe Fiorelli (1823-1896).	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	375	1	v9:375 (1840)	medium	located+place-type	
Residentsen	Residentsen	hovedstaden, hvor kongen residerer.	1838	1838	9	Tre Digtninger	330	1	v9:330 (1838)	high	head-noun+place-type	
»Rosenvænget«	»Rosenvænget«	kvarter på det ydre Østerbro, grænsende op til Øresund, hvor en række prominente borgere og kunstnere fra 1850’erne, bl.a. Johanne Luise Heiberg (1812-1890), lod opføre villaer.	1875	1875	9	Nær og Fjern	567	1	v9:567 (1875)	high	head-noun+located+place-type	
Roxen	Roxen(s)	sø ved Linköping i Östergötland.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	394	1	v9:394 (1840)	high	head-noun+located+place-type	
Sanct-Petri Kirke	Sanct-Petri Kirke	fra 1585 den tyske evangelisk-lutherske menigheds kirke i St. Peder-Stræde {B2-B3}.	1822	1822	9	Ungdoms-Forsøg	64	1	v9:64 (1822)	medium	located+place-type	
Seiersgudinden	Seiersgudinden	øverst på Thorvaldsens Museum er opstillet en statue af den romerske sejrsgudinde Viktoria med sit firspand: Victoria i en kvadriga, 1845-1848 støbt i bronze af J.B. Dalhoff (1800-1890) efter model af H.W. Bissen (1798-1868) fra 1844-1845.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	439	1	v9:439 (1844)	medium	located	
Sindbad Søfareren	Sindbads Reiser	Sindbad Søfareren, person i Tusind og én nat, der fortæller om sine syv fantastiske rejser.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	220	1	v9:220 (1829)	medium	located	
Slotspladsen	Slotspladsen	pladsen ved Christiansborg Slot {F3-F4-E3-E4}.	1838	1838	9	Tre Digtninger	299	1	v9:299 (1838)	high	head-noun+located+place-type	
Speilkabinet … Slottet Rosenborg	Speilkabinet … Slottet Rosenborg	Rosenborg Slot {B6-B7}, opført 1606-1634; spejlkabinettet blev opført til Frederik 4. ca. 1700 efter fransk forbillede som den inderste og mest intime del af kongens suite med forbindelse til sovegemakket.	1838	1838	9	Tre Digtninger	313	1	v9:313 (1838)	high	head-noun+place-type	
Stormfloden	Stormfloden	den største stormflodskatastrofe i nyere tid i Danmark fandt sted den 12.-14. november 1872, hvor store dele af Lolland og Falster blev oversvømmet, 80 mennesker omkom og 50 skibe strandede på Sjællands østkyst.	1872	1872	9	Berlingske politiske og Avertissements-Tidende	555	1	v9:555 (1872)	medium	located	
The Thames	Temsen	The Thames, Themsen; engelsk flod, der løber gennem London.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	392	1	v9:392 (1840)	medium	located+place-type	
Vestfold	Vestfold	landskab i Norge beliggende på vestsiden af Oslofjorden; i det 8. og 9. århundrede var Vestfold sæde for den kongeslægt, der senere kom til at herske over Norden.	1822	1822	9	Ungdoms-Forsøg	82	1	v9:82 (1822)	high	head-noun+located+place-type	
Volden	Volden	Christianshavn blev oprindelig i tiden efter 1618 anlagt efter en symmetrisk byplan, omgivet af grave og volde med bastioner.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	199	1	v9:199 (1829)	high	head-noun+place-type	
Västergötland	Vestgothland	Västergötland, landskab i Sydsverige mellem Göteborg og Vättern.	1822	1822	9	Ungdoms-Forsøg	90	1	v9:90 (1822)	medium	located+place-type	
Wreta Klosterkirke … Steenkister	Wreta Klosterkirke … Steenkister	i Vreta Kloster, nordvest for Linköping, findes en række gravmonumenter, bl.a. over de svenske konger Inge den Yngre (ca. 1110-1118 konge sammen med broderen Filip, 1118-1125 enekonge) og Magnus Nilssön; gravmonumenterne er dog først bygget i slutningen af 1500-tallet, mens klosteret selv brændte ned i 1248 og en ny kirke i dens sted indviedes 1289.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	394	1	v9:394 (1840)	medium	located+place-type	
